Date,Event,Category,Description
1990-08-02,Gulf War Invasion,Geopolitical,Iraq invades Kuwait leading to oil supply disruptions
1991-01-17,Gulf War Air Campaign,Geopolitical,Coalition forces begin air campaign against Iraq
2001-09-11,September 11 Attacks,Geopolitical,Terrorist attacks on World Trade Center and Pentagon
2003-03-20,Iraq War Begins,Geopolitical,US-led invasion of Iraq begins
2008-09-15,Lehman Brothers Collapse,Economic,Global financial crisis deepens with investment bank collapse
2010-12-17,Arab Spring Begins,Geopolitical,Arab Spring protests begin in Tunisia spreading across MENA
2011-03-19,Libya Intervention,Geopolitical,NATO intervention in Libya during civil war
2014-11-27,OPEC Maintains Production,OPEC Policy,OPEC decides not to cut production despite falling prices
2016-11-30,OPEC Production Cut Agreement,OPEC Policy,OPEC agrees to cut production by 1.2 million barrels per day
2018-05-08,US Iran Sanctions,Economic Sanctions,US withdraws from Iran nuclear deal and reimpose sanctions
2020-03-06,OPEC+ Talks Collapse,OPEC Policy,OPEC+ fails to agree on production cuts amid COVID-19
2020-03-11,WHO Declares Pandemic,Economic,WHO declares COVID-19 a pandemic triggering global lockdowns
2020-04-20,Oil Price Crash,Economic,WTI crude futures turn negative for first time in history
2022-02-24,Russia Ukraine War,Geopolitical,Russia invades Ukraine leading to energy supply concerns
2022-03-31,IEA Emergency Release,Policy,IEA announces emergency oil release from strategic reserves
